file,base_4.2.1_exit,head_exit
../rosetta-ruchy/test_simple_v189.ruchy,0,0
../rosetta-ruchy/test_v18.ruchy,0,0
../rosetta-ruchy/tests/infrastructure_test.ruchy,1,1
../rosetta-ruchy/verify_all_algorithms.ruchy,1,1
../rosetta-ruchy/tests/algorithms/fibonacci/test_fibonacci.ruchy,0,0
../ruchy-book/experiments/v3.62.9/experiment_001_test_functions.ruchy,0,0
../ruchy-book/experiments/v3.62.9/experiment_003_error_handling.ruchy,0,0
../ruchy-book/experiments/v3.62.9/experiment_002_dataframes.ruchy,0,0
../ruchy-book/experiments/v3.62.9/experiment_005_oop_methods.ruchy,0,0
../ruchy-book/listings/ch01-hello-world/listing-01-01/src/main.ruchy,0,0
../ruchy-book/experiments/v3.62.9/experiment_004_float_display.ruchy,0,0
